cell_id,city,province,stratum,lon,lat,LST_K,LST_2020_K,LST_2021_K,LST_2022_K,LST_2023_K,LST_2024_K,LST_2025_K,LST_valid_years,LST_obs_count,SUHI_strict_mean_K,Built_surface_fraction,retained_urban_core,Tair_mean,Tair_max,Precip_annual,VPD_summer,Solar_RAD,NDVI_mean,EVI_mean,FVC,LAI,PLAND_imperv,PLAND_water,PLAND_veg,ED_total,AI_imperv,Mean_Bld_Height,Bld_Volume_density,FAR,Sky_View_Factor,DEM,Slope,Aspect,TRI,Relative_elevation,rural_reference_lst_k
Changde_111.434888_29.023444,Changde,Hunan,Transitional,111.43488810091554,29.023443936514717,308.28884672000004,309.22652354000002,311.75585834000003,306.66300853999996,305.30605460000004,306.12979742000005,310.65183788000002,6,16,-1.0182851989144979,0.016028149053454399,False,27.895570361837144,35.400636275350926,1395.1878624063393,0.82238269756086879,204.9161388948225,0.57241882027118052,0.45574943500502402,0.42643972464614366,1.740153454706038,0.52937259109557533,0.035926709201497334,0.2888708240417398,0.024960789425408844,0.13202437028249475,2.086998462677002,0.040070369839668274,0.013356789946556091,0.99607440718429774,51.625697618774971,3.926399949178589,157.16141060178654,1.7312474293762754,-7.9311170794128358,309.30713191891454
Changde_111.439380_29.012215,Changde,Hunan,Transitional,111.4393796774465,29.012214995468558,307.03158502999997,308.41303477999998,309.72726347000003,302.53404037999996,305.96231444,305.41714024999999,310.13571686,6,20,-2.2755468889145618,0.022306010127067566,False,27.896982701944076,35.399911939203051,1393.2727092665509,0.82219103677621386,204.91229699452424,0.70216435850551207,0.58683577891767313,0.66455992266391561,1.7782107097374469,0.092654962583012423,0.039977619783021508,0.73900919826452938,1.1075970914060382,0.22446336850063792,1.9154753684997559,0.055790163576602936,0.018596721192200977,0.99453447889234514,52.256791421291268,3.3724822027861276,215.79362101861153,1.4865904411786506,-5.6651298586745114,309.30713191891454
Changde_111.441625_29.075097,Changde,Hunan,Transitional,111.44162546547925,29.075097065234804,309.65776373,309.24361364000004,311.95068548,309.94088971999997,309.94259872999999,305.74527017000003,311.12352464000003,6,15,0.3506318110854636,0.0037605466786772013,False,27.950766435472175,35.457773640705433,1393.2753187953526,0.82849593416037193,205.31142558230135,0.71149494871497809,0.51500740132746092,0.68371182371161154,2.0880810175566706,0.13737573958010699,0.031392307598143813,0.63647970937658105,0.14311959052844991,0.11576981427839525,1.1060431003570557,0.0094013670459389687,0.0031337890153129897,0.99907897196161688,80.696639066132391,9.1327164441232824,6.9122229831310165,3.9150429332888592,10.946959723306335,309.30713191891454
Changde_111.455100_28.987511,Changde,Hunan,Transitional,111.4551001948239,28.987511324888732,309.62757121999994,304.43104147999998,311.16112285999998,307.73968484,312.12842251999996,312.27539737999996,310.02975823999998,6,19,0.32043930108540053,0.0031267348676919937,False,27.913251956392202,35.410698155663404,1391.5721086342696,0.82209567164407382,204.93456678096354,0.40348920661993004,0.20819765093607687,0.1952415924949806,1.3886077736818012,0.049520395542634772,0.42241242038862159,0.34327949821287035,0.042616874861248932,0.20778373607615783,0.10010722279548645,0.015686800703406334,0.0052289335678021116,0.9985509072740506,39.821119730231061,4.0516612579910367,208.54203689558889,1.7662684064820195,-17.325306287699412,309.30713191891454
Changde_111.468575_29.097555,Changde,Hunan,Transitional,111.46857492422836,29.097554947179795,313.80780967999999,311.15086880000001,316.92219556999999,314.48685632000002,311.52856000999998,314.89701872000001,313.86135866000001,6,16,4.5006777610854556,0.047653611749410629,False,28.015102016081979,35.515721610290996,1380.6880591850395,0.83645599258108116,205.83832475329112,0.73936715152021038,0.55954592313504092,0.74254229624232582,1.6518038405353825,0.084866318975684127,0.04555670473362422,0.71343268606772947,0.40207673023363444,0.24644510372976672,0.7868657112121582,0.11913402378559113,0.039711341261863708,0.98832874153919537,51.477631293650852,7.3390303358231161,233.22580033103648,3.1394029688699541,-15.867232645757603,309.30713191891454
Changde_111.477558_28.980774,Changde,Hunan,Transitional,111.4775580770096,28.98077396042984,311.01186932000002,308.83516025,312.59156423000002,310.88084521999997,311.73876824000001,312.07373419999999,309.95114378,6,19,1.704737401085481,0,False,27.956544889083091,35.446923078305453,1386.5416970381332,0.82524424315630107,205.16462252923716,0.61699656083232302,0.47195886912826857,0.50232046874325331,1.5485862142481008,0.048824580561779747,0.033136251194713015,0.78399790572751249,0.033065171816281602,0.18344729895371154,0,0,0,1,38.789308824128149,4.7033318754328093,144.41846306131288,2.0343814518500567,-8.0828385952438637,309.30713191891454
Changde_111.491033_29.000986,Changde,Hunan,Transitional,111.49103280624077,29.000986054288049,310.54787310500001,308.72749262000002,312.09936934999996,305.79141343999999,310.25876558000004,315.10209992,311.30809771999998,6,18,1.2407411860854722,8.3367616753093898e-05,False,28.014449452834977,35.501892557350125,1374.5909187859236,0.83049125973854387,205.54124242584652,0.62567019981303273,0.46861823725973961,0.51780652961371398,1.3942962247245494,0.050539579143548778,0.035397429376219709,0.82040208278534321,0.95679257984412724,0.20650581854159597,0.016545969992876053,0.0002217159781139344,7.3905326037978128e-05,0.99997833675062209,38.362432859474261,2.5942705913662647,114.62192627175381,1.2383147800557737,-2.8548467307444625,309.30713191891454
Changde_111.491033_29.007723,Changde,Hunan,Transitional,111.49103280626043,29.007723419034903,311.79801392000002,306.57243100999995,307.55511175999999,309.62814089,315.73101559999998,316.64704496000002,314.6543393,6,20,2.4908820010854811,0.036458887159824371,False,28.017228878964929,35.505121921615938,1374.2670761090692,0.83124791417865751,205.58494878573592,0.56726933290076864,0.31564395818356211,0.41807431681188462,1.3303818143914059,0.12463696865609079,0.23350824396125974,0.4422275968221947,0.12520427859106956,0.11867799764739505,2.7815749645233154,0.1143191009759903,0.038106366991996765,0.98893217950917245,38.694334535835218,1.7315261084752893,80.053327930742398,0.79647156258564777,-3.0957999364686657,309.30713191891454
Changde_111.493279_29.018952,Changde,Hunan,Transitional,111.4932785944595,29.01895235990051,314.56376176999999,317.09138755999999,304.37977118000003,312.72999404000001,317.17683805999997,319.49425561999999,316.51032415999998,6,15,5.2566298510854494,0.16172982752323151,False,28.027060171214263,35.515059876030634,1372.8728168050047,0.83293042647610349,205.68849674484619,0.26196004404892098,0.23079102793739981,0.070198531676907053,1.1934192237370775,0.6912648228914251,0.030174161386010902,0.16464968709163211,0.97261371924101658,0.37458915047125124,3.8656158447265625,0.75610369443893433,0.25203456481297809,0.9298768325229223,42.440679558617212,2.6686251006871191,223.11941018232625,1.2258389485547947,-1.0366224734948588,309.30713191891454
Changde_111.500016_28.926875,Changde,Hunan,Transitional,111.50001595914313,28.926875043341486,310.41770350999997,307.05949885999996,313.40505299,311.78491150999997,312.37281095000003,304.04651422999996,313.83743251999999,6,19,1.1105715910854315,0.048840723931789398,False,27.924255250293875,35.403517620199786,1401.341680082106,0.82196697831062693,204.90481622297688,0.66369560717503984,0.5403452356037276,0.58847234104053225,1.1882258271778121,0.3485420430221135,0.047437116357808305,0.47566808596472532,0.035642964773897008,0.33385643954726779,2.3061792850494385,0.12464205920696259,0.041547353068987526,0.98779951424031198,41.904144458318143,3.0752138479726048,141.22603762323627,1.3275728519539955,-17.033450058284565,309.30713191891454
Changde_111.500016_28.985266,Changde,Hunan,Transitional,111.50001595907635,28.985265537046807,311.31920628500001,311.57128525999997,310.83299294,309.79562386999999,310.52537114,313.92288301999997,311.26708148,6,17,2.0120743660854714,0,False,28.013534669775506,35.497238630025812,1377.4616716002065,0.82997974767759275,205.50422022910908,0.6344236461021765,0.50048804800665225,0.53367343456775307,1.7816235028795733,0.043593919034758739,0.046218663491308695,0.81804772359008593,0.063919516025721518,0.058169024262532752,0,0,0,1,37.079535708463212,2.7840931704362526,195.11880161862197,1.271971832593384,-6.0181399155336663,309.30713191891454
Changde_111.506753_28.924629,Changde,Hunan,Transitional,111.50675332362802,28.924629255179902,304.41907841,304.07214937999998,303.05016139999998,305.80508552000003,303.77478164000001,305.98965859999998,303.82263391999999,6,15,-4.8880535089145383,0,False,27.934338520737487,35.409572269421439,1401.4793598665644,0.82310776879976078,204.95966088786838,-0.32136716471563692,-0.055937466053773699,0,0.8788521155976825,0.027139460153280764,0.74198891668042732,0.14424281455647781,0.00086101022718387821,0.1349882956598874,0,0,0,1,31.474416450305959,0.99956920495588908,88.228802323861032,0.49665161654366297,-32.932032507214892,309.30713191891454
Changde_111.506753_29.016707,Changde,Hunan,Transitional,111.50675332374585,29.016706571902223,314.29231401500004,313.04786990000002,314.60990504,311.54735912000001,314.06814886999996,317.81258978,314.66801138,6,17,4.9851820960855093,0.10498639941215515,False,28.053641324044968,35.534356476367783,1369.4845131264408,0.83507076791817336,205.84432935420452,0.51598522781580769,0.3988685394030036,0.33928473834773465,1.3247633285617768,0.25505008355419367,0.043428401589127523,0.49166142283539688,0.3135685003299028,0.22521284219466942,2.0024545192718506,0.26247122883796692,0.08749040961265564,0.97428638148122526,42.417494809415423,2.2997578228048434,122.70561017572049,1.2025445064778615,1.3024719513590099,309.30713191891454
Changde_111.508999_29.072851,Changde,Hunan,Transitional,111.50899911176195,29.07285127703965,308.06724508999997,307.71575870000004,309.78707882000003,304.37464414999999,307.79608216999998,308.97871709000003,309.75118960999998,6,16,-1.2398868289145639,0.011599725112318993,False,28.073581969882582,35.556615448345191,1364.9188933397018,0.84198795086521006,206.24773102655766,0.66070342070113941,0.49866064529342435,0.58274791883761379,1.8777862696475145,0.056250084160344473,0.23311101535645626,0.5290943980535181,0.67893120731664458,0.21864978364912019,0.42728811502456665,0.034557577222585678,0.011519192407528559,0.99666388194571609,38.918737491643306,3.0747748122728518,103.29256963677301,1.4015830731453365,-12.694757766488394,309.30713191891454
Changde_111.524720_29.097555,Changde,Hunan,Transitional,111.52471962940083,29.097554947071657,307.49501157499998,309.65719405999999,313.36916378000001,307.95502009999996,296.32691606000003,305.99136761,311.67040784,6,16,-1.8121203439145575,0,False,28.099311414326344,35.572965431122213,1358.4912764549163,0.84762398296416797,206.61369996579828,0.64006611568165106,0.46758198124328465,0.54402815761817414,2.1522203415135257,0.12452029292232673,0.03741779317691301,0.6486302494731111,0.41056884925841158,0.10744145234595816,0.35407835245132446,0,0,1,56.813503608266231,6.0291976712961786,222.86859514099362,2.689036118254263,-3.0186089817390283,309.30713191891454
Changde_111.540440_29.000986,Changde,Hunan,Transitional,111.54044014690623,29.000986054253307,308.99324367499997,308.71382054000003,308.87104945999999,305.53677095,309.00435224,311.94043141999998,309.89303744,6,21,-0.31388824391456183,0.0067865210585296154,False,28.111444534334396,35.564644660743589,1366.7663712864164,0.83887901585014946,206.12511571624935,0.73806587395359191,0.67717683383222893,0.73974163578050012,1.43284324109584,0.054815606843625325,0.062883158679386347,0.70059248282730646,0.47039973126963552,0.14430104980068514,1.0174189805984497,0.016966301947832108,0.0056554339826107025,0.99833785435100164,40.267476584160086,3.1999347309341886,265.59933494815982,1.4458635114870086,-4.3966022928323483,309.30713191891454
Changde_111.544932_29.079589,Changde,Hunan,Transitional,111.54493172307964,29.079588641549943,307.76645933000003,308.44379695999999,310.60056758000002,303.45690578,307.13127728000001,306.35196872,310.61423966000001,6,20,-1.5406725889145036,0.0064878650009632111,False,28.122671260738336,35.580183393965875,1355.163665388061,0.84902426577611112,206.74167322120906,0.81232463045574954,0.62726051919532011,0.9080294409367109,2.241882820204415,0.033920640395699246,0.031507717727476521,0.82245233262528183,0.0039682267940714319,0.0926607804319865,0.22067567706108093,0.016219662502408028,0.0054065541674693423,0.99841100080343104,82.185976295621799,14.018455553881001,118.74775515731244,6.2209896868846766,24.378625934773829,309.30713191891454
Changde_111.547178_28.992003,Changde,Hunan,Transitional,111.54717751159386,28.992002901356024,312.32353449499993,309.72897247999998,311.94384944000001,312.84620672,312.59498224999999,313.68020360000003,313.14699247999999,6,22,3.0164025760853974,0.057682491838932037,False,28.112418928056993,35.5606904783887,1369.3935028208168,0.83903017363277754,206.11368453164761,0.63647334583301507,0.50218050729430752,0.53742341464464249,1.5598555079097283,0.27952772510265878,0.033888040571473536,0.4524803595170927,1.4724486363722566,0.16808482020808119,2.1087379455566406,0.14420622587203979,0.048068741957346596,0.98587248134843908,53.156091396765248,2.4617521823282638,41.577194727679569,1.1531420575517832,6.6670213248976182,309.30713191891454
