cell_id,city,province,stratum,lon,lat,retained_urban_core,SUHI_strict_mean_K,Built_surface_fraction,Tair_mean,Tair_max,Precip_annual,VPD_summer,Solar_RAD,NDVI_mean,EVI_mean,FVC,LAI,PLAND_imperv,PLAND_water,PLAND_veg,ED_total,AI_imperv,Mean_Bld_Height,Bld_Volume_density,FAR,Sky_View_Factor,DEM,Slope,Aspect,TRI,Relative_elevation
Changde_111.612305_29.043656,Changde,Hunan,Transitional,111.61230536972492,29.043656030229091,True,6.6747663490854734,0.26241746544837952,28.227373287491364,35.627406263632189,1350.4116518204071,0.85580969090366377,207.28309609341332,0.55441040669997388,0.45817510437521786,0.39754665373005155,1.0902550902081452,0.37684078241947588,0.038611872533025837,0.40698587448486839,0.78632230151427374,0.31488298064978154,4.5930805206298828,1.16637122631073,0.38879040877024335,0.89073273065405278,36.835214000602782,2.9594039171335753,5.8460269164053784,1.3145084696723974,-5.5046880067680348
Changde_111.625780_29.025690,Changde,Hunan,Transitional,111.62578009870913,29.025689724415496,True,10.514114281085483,0.17881315946578979,28.259100603050975,35.644756723115457,1354.9108611281188,0.85632866134113039,207.29696983317461,0.60814203974858694,0.4842523728289862,0.48675396333548926,0.91778560935783138,0.30536456432714598,0.036152713016296426,0.40245673429189877,0.31966369742614953,0.43236186128804044,3.1140551567077637,0.58264237642288208,0.19421412547429404,0.94377174037963796,36.959625609771642,2.3537094262610863,224.80885708115846,1.1535204858105277,-0.61608568856454582
Changde_111.625780_29.027936,Changde,Hunan,Transitional,111.62578009867421,29.027935512925691,True,10.273143871085495,0.13693574070930481,28.257879364440992,35.643617908322334,1354.4499706942665,0.85649194362217562,207.3141333575542,0.26296575967310215,0.20295065633142176,0.07086627311428359,0.88838200683885549,0.59577489959929819,0.040928565307985991,0.17868333157932606,0.41739154768579251,0.38161240960262133,2.9430999755859375,0.40563768148422241,0.13521256049474081,0.96060497500616204,37.785932241378532,2.1796038961614426,70.62821743151585,0.97568224570364936,-0.043851634688259367
Changde_111.630272_29.032427,Changde,Hunan,Transitional,111.63027167519513,29.032427089251609,True,6.5531987710854764,0.13812835514545441,28.263146710645785,35.644683180332258,1353.7280110499416,0.85752763656614539,207.39937922927453,0.67304500471940809,0.56997918041710371,0.6065391842278236,0.83205213210509721,0.19527519941201865,0.059180259151229007,0.53090833473833743,0.59485146468506023,0.46396545555989066,3.6347076892852783,0.64057391881942749,0.21352463960647583,0.94035980976477007,36.049085429272679,2.1033516674605091,52.857905697458534,1.0137953774055506,-1.4275240324771516
Changde_111.630272_29.061622,Changde,Hunan,Transitional,111.63027167515237,29.061622335791881,True,4.7370908110854089,0.19183358550071716,28.24625482026746,35.628328326191472,1347.9207079543457,0.85938843728791703,207.62114045000342,0.70064733972550231,0.5720711788026811,0.66147181358105178,1.3755633811028463,0.21821208484264631,0.062801525691368931,0.55867289329230707,1.7947210991632563,0.26588940962246638,2.2983188629150391,0.60678273439407349,0.20226091146469116,0.94145888968978575,35.583533231006086,2.2393608435116787,203.99792786016764,1.0648332333787025,-4.7921180348125603
Changde_111.634763_29.021198,Changde,Hunan,Transitional,111.63476325166657,29.021198148033967,True,4.0748494360854011,0.057755004614591599,28.277744102850114,35.654912664994185,1356.0905363314414,0.85762179118265736,207.36553011972671,0.51923464864948099,0.40297241717160004,0.34403305545812785,0.99326070584734549,0.53378560513724704,0.035333780863632758,0.25376219339467881,0.10619820316996603,0.39502456709826334,2.7523343563079834,0.15982484817504883,0.053274949391682945,0.98441550731201533,37.077681770162641,2.1753856182528182,305.0949531834799,1.0617668097023636,0.80200372627688665
Changde_111.637009_29.027936,Changde,Hunan,Transitional,111.63700903991328,29.027935512906939,True,9.4813025710854504,0.28532758355140686,28.277544610867722,35.652571416862834,1354.8786496971495,0.85836548339680163,207.44195525965142,0.31565051067079969,0.25132022871621051,0.11026592784321353,0.6860385807875331,0.51399500382948426,0.042784673090403277,0.19894196051095303,0.23960678462942331,0.40965963908126324,6.6645903587341309,1.8865220546722412,0.62884068489074707,0.83502789578023984,36.439575543237979,1.9987885115250221,111.08467021573267,1.0135185428580715,0.17791363006193706
Changde_111.637009_29.045902,Changde,Hunan,Transitional,111.63700903992175,29.045901818390185,True,6.5688646960854271,0.26418787240982056,28.26621195052855,35.641075880317565,1351.4750224486281,0.85926886636544131,207.57716407590965,0.43503916792011904,0.34101708979956596,0.23164868880096506,0.84808340247375236,0.30575795901335834,0.039942520325227333,0.4141219980083406,1.2960079567480141,0.45504274678570505,5.2711477279663086,1.6507668495178223,0.55025561650594079,0.85372937720945208,34.498805882909267,2.7635186065996109,315.34685483302667,1.3217346169491324,-2.5816599829524378
Changde_111.641501_29.023444,Changde,Hunan,Transitional,111.64150061631616,29.023443936628624,True,5.9359613260854758,0.24475030601024628,28.288400149669133,35.659265206235375,1355.872678488201,0.85892934109246499,207.45949175430366,0.32656563180083781,0.27551017469323391,0.11951335733343219,0.81450455064624561,0.46809076310447134,0.039239979616831989,0.26029603903880338,0.33939922696328351,0.38012722985184028,3.9034676551818848,1.04111647605896,0.34703882535298664,0.90274925496149661,37.541213906917996,1.5254404861492414,133.25022512761194,0.79011345078442174,1.3277857681045973
Changde_111.641501_29.059377,Changde,Hunan,Transitional,111.64150061621623,29.059376547725229,True,7.3003209760854588,0.058208826929330826,28.264484627823364,35.634366118584623,1349.2922209690082,0.86041380680596258,207.72822988379696,0.51876304814306684,0.44933733479475818,0.34334186766309249,0.95290360330050805,0.26128006439930734,0.036073215585201976,0.49637930653523654,1.118242081167097,0.40980763962365008,3.3228297233581543,0.26494860649108887,0.088316202163696289,0.97581546906943761,34.103722618811297,3.5521917413362134,238.27976070658138,1.5870781339298474,-2.3303727313576346
