city,stratum,cell_id,donor_cell_id,profile_level,context_distance,area_m2
Changsha,Transitional,Changsha_113.029398_28.084704,Changsha_112.982236_28.075721,primary,0.43076070107297143,55017.57624218108
Changsha,Transitional,Changsha_113.108000_28.221698,Changsha_113.123721_28.217206,primary,0.34546986380982497,54947.225178724235
Changsha,Transitional,Changsha_113.128212_28.219452,Changsha_113.074313_28.259876,primary,0.69481180463901837,54948.381008400705
Changsha,Transitional,Changsha_112.816048_28.351953,Changsha_112.798082_28.349707,upper,0.43445520227910978,54880.042668685899
Changsha,Transitional,Changsha_112.849735_28.318266,Changsha_112.865455_28.322758,upper,0.48287744563425461,54897.444661469832
Changsha,Transitional,Changsha_112.892405_28.241910,Changsha_113.027152_28.104917,upper,0.56733348242606274,54936.818911900467
Changsha,Transitional,Changsha_112.908125_28.138603,Changsha_112.988974_28.071230,upper,0.38579031752633264,54989.934642716187
Changsha,Transitional,Changsha_112.910371_28.244155,Changsha_112.863209_28.309283,upper,0.4492523032459475,54935.662238005141
Changsha,Transitional,Changsha_112.966516_28.289071,Changsha_112.991219_28.302546,upper,0.43838529309432694,54912.511038391225
Changsha,Transitional,Changsha_112.968761_28.102671,Changsha_113.006940_28.322758,upper,0.39011368270410474,55008.367784322203
Changsha,Transitional,Changsha_113.040627_28.113900,Changsha_113.004694_28.327250,upper,0.21615914107701123,55002.609751391145
Changsha,Transitional,Changsha_113.047364_28.145341,Changsha_113.018169_28.313775,upper,0.31439181183332066,54986.476020766786
Changsha,Transitional,Changsha_113.119229_28.235172,Changsha_113.123721_28.217206,upper,0.31738768664322831,54940.288427178777
Chenzhou,Hilly,Chenzhou_112.971007_25.737856,Chenzhou_112.977745_25.742347,moderate,0.43365209110898006,56173.595376145233
Chenzhou,Hilly,Chenzhou_112.975499_25.746839,Chenzhou_112.986728_25.749085,moderate,0.54459934593043224,56169.348892663314
Chenzhou,Hilly,Chenzhou_113.004694_25.778280,Chenzhou_113.002448_25.809721,moderate,0.41923431757528962,56154.475327151406
Chenzhou,Hilly,Chenzhou_113.006940_25.758068,Chenzhou_113.011431_25.767051,moderate,0.45342501870672408,56164.038846382326
Chenzhou,Hilly,Chenzhou_113.013677_25.829933,Chenzhou_113.006940_25.823196,moderate,0.33388027685057314,56130.003476735823
Chenzhou,Hilly,Chenzhou_113.020415_25.838916,Chenzhou_113.027152_25.845654,moderate,0.18237087340767386,56125.742845544744
