system:index,AI_imperv,Aspect,Bld_Volume_density,DEM,ED_total,EVI_mean,FAR,FVC,LAI,LST_K,LST_K_MODIS,LST_K_NIGHT,Mean_Bld_Height,NDVI_mean,PLAND_imperv,PLAND_veg,PLAND_water,Precip_annual,Relative_elevation,Sky_View_Factor,Slope,Solar_RAD,TRI,Tair_max,Tair_mean,VPD_summer,city,lat,lon,province,stratum,.geo,cell_id,stratum_code,SUHI_K
"51593,13263",0.2682010724378439,104.33678436279295,0.0,16.0,0.3189540631215398,0.5216295674086517,0.0,0.6156351883319824,1.5583333333333336,308.66084123,304.4266666666667,298.61333333333334,0.0,0.6776993870735168,0.3240588020998984,1.0,0.0,2018.236094992389,2.848720497131115,1.0,0.0384964980185031,192.31486044191365,0.4714045207910317,307.906489054362,301.1246900264508,0.6273042337785887,Jiujiang,29.787011928060046,115.86807402810294,Jiangxi,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[115.86695113394619,29.785889033193037],[115.86919692215649,29.785889033193037],[115.86919692215649,29.788134821403336],[115.86695113394619,29.788134821403336],[115.86695113394619,29.785889033193037]]]}",grid_smod_jiujiang_2020_27335,0,5.085330155999998
"50377,13585",0.1278176625538617,198.9269561767578,0.7737399287223815,35.0,0.0590165862813591,0.3902254579977448,0.2579133095741271,0.363012003811152,1.4500000000000002,311.13548771,303.87875,296.42400000000004,2.6317684650421143,0.5320038199424744,0.465862825512886,1.0,0.0,1809.6944558432,8.999999999999996,0.924364226427322,0.0119839375838637,187.566222917782,1.6405358955815026,306.4382731119792,299.99179868390485,0.6053545219318687,Tianmen,30.51015573156227,113.13719556422517,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[113.13607267022284,30.50903283690925],[113.13831845843313,30.50903283690925],[113.13831845843313,30.511278625119548],[113.13607267022284,30.511278625119548],[113.13607267022284,30.50903283690925]]]}",grid_smod_tianmen_2020_819,0,4.407536789999995
"51558,12663",0.1380651804530061,108.76467895507812,0.0,46.0,0.1528218288905918,0.3476663027512554,0.0,0.5406902676152738,1.3583333333333334,313.1675006,306.4633333333333,297.04875,0.0,0.6382531523704529,0.21439003739506,1.0,0.0,1775.4628899505035,28.445653823003827,1.0,0.1569767743349075,213.2209743210688,4.055175020198813,308.65362548828125,302.4156145289523,0.9639412603473684,Nanchang,28.439539001749,115.78947144067332,Jiangxi,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[115.78834854658572,28.438416107013754],[115.79059433479603,28.438416107013754],[115.79059433479603,28.440661895224054],[115.78834854658572,28.440661895224054],[115.78834854658572,28.438416107013754]]]}",grid_smod_nanchang_2020_4186,0,7.00523198999997
"50205,13570",0.2051292531238868,102.59230041503906,0.0,29.0,1.7401255464646963,0.4306431758732112,0.0,0.4053399713652885,1.7000000000000002,311.96435755999994,305.2236363636364,297.324,0.0,0.5593305230140686,0.4223477073246613,1.0,0.0,1677.096122782459,1.0000000000000036,1.0,0.0330890789628028,187.4271406206908,1.3333333333333333,306.2969970703125,299.91788077815886,0.6074653486775157,Qianjiang,30.476468908359475,112.75091999214582,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[112.74979709805145,30.47534601375477],[112.75204288626175,30.47534601375477],[112.75204288626175,30.477591801965065],[112.74979709805145,30.477591801965065],[112.74979709805145,30.47534601375477]]]}",grid_smod_qianjiang_2020_14456,0,4.778990113499901
"51653,12652",0.2832355536871985,354.695556640625,1.13025,23.0,0.4837562297493798,0.1461871789208935,0.37675,0.0336800677571327,1.2166666666666668,314.58939692,304.688,298.2576470588235,2.5,0.1968170404434204,0.6545018623117358,0.0,0.0,1822.274783532848,5.445653823003827,0.889272272727283,0.1363580524921417,214.38660221078504,1.3333333333333333,308.6189320882161,302.4096887663701,0.9938478957320048,Nanchang,28.41483533158828,116.00282132069044,Jiangxi,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[116.00169842656412,28.413712436700465],[116.0039442147744,28.413712436700465],[116.0039442147744,28.415958224910764],[116.00169842656412,28.415958224910764],[116.00169842656412,28.413712436700465]]]}",grid_smod_nanchang_2020_2513,0,8.42712831
"50465,13479",0.0472189727751538,198.9269561767578,0.0,27.0,0.0222398319747298,0.178126113288208,0.0,0.1319197235465177,1.15,311.05174622,304.30727272727273,298.08,0.0,0.3405660390853882,0.0418382755015045,1.0,0.0,2020.48941133522,3.000000000000004,1.0,0.0119839375838637,188.5718046328742,0.5665577237325118,306.4721323649089,300.1732123777146,0.611138807001467,Xiantao,30.272102181129565,113.33482492678613,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[113.33370203272914,30.270979286617578],[113.33594782093944,30.270979286617578],[113.33594782093944,30.273225074827877],[113.33370203272914,30.273225074827877],[113.33370203272914,30.270979286617578]]]}",grid_smod_xiantao_2020_4533,0,3.855526559999987
"50941,13704",0.1469829542849523,339.4459228515625,0.0,21.0,0.6075519839844977,0.4838277202929202,0.0,0.5333673120533158,1.2083333333333337,310.04343032,305.2181818181818,295.6223529411765,0.0,0.6342560052871704,0.041766854817979,1.0,0.0,1938.662851135959,3.999999999999993,1.0,0.0357697792351245,187.004249150322,0.4714045207910317,307.09165445963544,300.5003903921075,0.6563353618569465,Wuhan,30.777404528551564,114.40382011497069,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[114.40269722083137,30.776281633934808],[114.40494300904166,30.776281633934808],[114.40494300904166,30.778527422145107],[114.40269722083137,30.778527422145107],[114.40269722083137,30.776281633934808]]]}",grid_smod_wuhan_2020_65291,0,1.7192640600000004
"50453,13616",0.1897766567487269,198.9269561767578,0.5442152765989303,29.0,0.0693556129699572,0.3877686682916021,0.1814050921996434,0.2981916496724485,1.5333333333333334,310.13229884,304.4018181818182,297.4446153846154,3.1187121868133545,0.4868554174900055,0.4135596315609291,1.0,0.0,1831.629374902477,2.9999999999999964,0.9472768393258142,0.0119839375838637,187.31717246840577,1.6629588385661895,306.501948038737,299.96291468949585,0.6073411943977985,Tianmen,30.57977516604814,113.3078754681919,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[113.30675257420555,30.578652271428513],[113.30899836241585,30.578652271428513],[113.30899836241585,30.580898059638812],[113.30675257420555,30.580898059638812],[113.30675257420555,30.578652271428513]]]}",grid_smod_tianmen_2020_5512,0,3.404347919999964
"51685,13156",0.1984174154511031,89.07086944580078,0.0,64.0,0.427846499462612,0.538513732958214,0.0,0.5400310722554027,1.375,310.75096046,302.755,298.0425,0.0,0.6378944516181946,0.2590495636221021,0.0,0.0,1928.518341760864,50.84872049713111,1.0,0.0476643070578575,203.93754790845372,4.75576323534059,306.8488210042317,301.1302048919021,0.7148216461194434,Jiujiang,29.546712589470182,116.07468654322928,Jiangxi,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[116.07356364929367,29.545589694691063],[116.07580943750398,29.545589694691063],[116.07580943750398,29.547835482901363],[116.07356364929367,29.547835482901363],[116.07356364929367,29.545589694691063]]]}",grid_smod_jiujiang_2020_5158,0,7.175449385999968
"50551,13510",0.1144646201189607,198.9269561767578,0.0,27.0,0.2855403332505375,0.409538976953658,0.0,0.4387775006700514,1.3333333333333337,312.15234866000003,306.94,297.5415384615385,0.0,0.5799222588539124,0.0461415911559015,1.0,0.0,2068.5887279918093,3.000000000000004,1.0,0.0119839375838637,189.30727873898863,0.6666666666666666,306.4473927815755,300.2296537816311,0.6208985251763979,Xiantao,30.34172161592116,113.527962712867,Hubei,Flat,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[113.52683981881484,30.34059872113684],[113.52908560702514,30.34059872113684],[113.52908560702514,30.342844509347138],[113.52683981881484,30.342844509347138],[113.52683981881484,30.34059872113684]]]}",grid_smod_xiantao_2020_10188,0,4.956129000000033
