outcome,city,stratum,n_cells,within_city_neighbors,median_neighbor_distance_m,loco_r2,loco_rmse_k,mean_residual_k,observed_moran_i,loco_residual_moran_i,full_vs_heldout_shap_rank_spearman,full_vs_heldout_shap_top5_overlap
absolute_lst,Changde,Transitional,4889,8,663.2884692962546,0.3533228682682496,2.738696182432605,-1.9377254340761634,0.6236843002426927,0.4901033588894458,,
absolute_lst,Changsha,Transitional,4783,8,869.2033095438601,0.8476702623506526,1.5477789581959234,0.1415414580464387,0.6812126275648742,0.28906825016581117,,
absolute_lst,Chenzhou,Hilly,4952,8,671.874089879477,0.7268299626851018,2.1124568003440345,-0.3511368907442756,0.7347463825410594,0.47668299221739213,,
absolute_lst,Enshi,Mountainous,4974,8,543.9249230842825,0.7128470919757854,1.6148173767925742,0.5075973022189461,0.7530195901119247,0.45268543434054237,,
absolute_lst,Ezhou,Transitional,4658,8,431.268740529915,0.8399855915405974,1.2510903586492583,0.07695537161155035,0.678436140419629,0.4515297514845746,,
absolute_lst,Fuzhou,Hilly,4963,8,666.3852661793261,0.5856499711237442,1.923246358972819,-0.6589190581539254,0.5883230819438684,0.4558839782592982,,
absolute_lst,Ganzhou,Hilly,4948,8,838.9662157297645,0.8725431568693135,1.4234414678434502,0.20860846238595598,0.796002915224972,0.3472360808127655,,
absolute_lst,Hengyang,Transitional,4857,8,669.586650742403,0.5569634200508922,2.324589106460872,1.5305653336786396,0.6696257881112252,0.4181865991748899,,
absolute_lst,Huaihua,Mountainous,4874,8,546.3084988890956,0.8498378527087064,1.4830318886230318,-0.06364336065449094,0.8483851983702592,0.4926274267118892,,
absolute_lst,Huanggang,Hilly,4682,8,430.01947070879913,0.8086157989742289,1.3817208154229563,0.46885533237410837,0.6856350827941237,0.45401160122556056,,
absolute_lst,Huangshi,Mountainous,4717,8,749.1616121923321,0.82235702015642,1.6210296084991085,0.6510193174248866,0.6671213084853417,0.4639608838675586,,
absolute_lst,Ji'an,Hilly,4970,8,749.1616149956334,0.7350756891805343,1.5745385523793554,-0.4763009664460814,0.6326424571615611,0.4107626958659817,,
absolute_lst,Jingdezhen,Hilly,4908,8,662.610081600225,0.4191653414047374,2.509078679245233,-1.758616293585283,0.7156718340206505,0.5207629257218235,,
absolute_lst,Jingmen,Transitional,4883,8,657.5552877361816,0.6857208209033938,1.7137234718199474,-0.9433429372704499,0.7485175364875061,0.5015621492927065,,
absolute_lst,Jingzhou,Flat,4619,8,660.2544393392237,0.6194869002653598,1.9899464632635144,-0.8723292726400528,0.5616739940312822,0.4806862636885177,,
absolute_lst,Jiujiang,Flat,4332,8,698.3115446793662,0.7801794353719209,1.9899370354632149,0.8241499502447864,0.7554503373010043,0.6031572154753071,,
absolute_lst,Loudi,Transitional,4865,8,546.2202869277377,0.5851715015349301,1.9125115216396436,-1.1340202833643724,0.6821044994275884,0.458663661184558,,
absolute_lst,Nanchang,Flat,4828,8,875.5439937903742,0.8141081733879717,1.7895303238045646,0.5220788662872535,0.6914233621137119,0.38144290281267285,,
absolute_lst,Pingxiang,Hilly,4964,8,749.1616337734911,0.8440207893107967,1.5162579791460922,0.6083059043234336,0.8015196116761857,0.4952878129673044,,
absolute_lst,Qianjiang,Flat,4962,8,543.8012305798767,0.6311629900693196,1.632367297549841,0.3517047304715057,0.6105363062137343,0.46837540455586135,,
absolute_lst,Shangrao,Hilly,4959,8,868.1531681001117,0.7215101742552893,1.8328602705962571,0.611598736310511,0.7071568053410496,0.5614814997948114,,
absolute_lst,Shaoyang,Hilly,4856,8,668.6396762940012,0.6361196310124049,1.7681130797585878,-0.7237621798466727,0.703123946248589,0.4942099670418919,,
absolute_lst,Shiyan,Mountainous,4984,8,679.6375933972304,0.8369630893125889,1.314344747695951,-0.25178186456585167,0.777795168299362,0.44134832999384593,,
absolute_lst,Suizhou,Hilly,4935,8,655.5477393497852,0.6820925710711715,1.3097171546762083,0.0681169970011368,0.6234231267599795,0.4912997989456463,,
absolute_lst,Tianmen,Flat,4961,8,643.4255079866487,0.7084755860458019,1.294975593451285,0.2401167611040366,0.657640142671805,0.39743346815103525,,
absolute_lst,Wuhan,Flat,4299,8,1021.8380257147417,0.8293111422905537,1.757057815683836,0.019090764582219182,0.5086355513613203,0.2872116658727818,,
absolute_lst,Xiangtan,Transitional,4796,8,546.1410128629877,0.8319083296084545,1.4830660177878283,0.2640900528926365,0.7170405550602132,0.35285745444883526,,
absolute_lst,Xiangxi,Mountainous,4985,8,545.717699338843,0.4532948389842114,2.1224301715930207,0.9867724590619105,0.645811926043655,0.5407863181645086,,
absolute_lst,Xiangyang,Transitional,4891,8,749.1615769845782,0.7700826114593367,1.6926176624792926,-0.07564904656068155,0.6495719408460835,0.5074548935390358,,
absolute_lst,Xianning,Hilly,4816,8,660.8287092532134,0.4175894432443708,2.191855310338076,1.7924003843032341,0.7673741426057913,0.517573672057605,,
absolute_lst,Xiantao,Flat,4948,8,645.8639826894877,0.7640938915374749,1.386615124653966,0.2071814939038026,0.6351603427668548,0.4254671238535879,,
absolute_lst,Xiaogan,Transitional,4861,8,642.8984797326659,0.7993568012839604,1.3561206891237003,0.6328628417693227,0.6746606941554774,0.3086884221503279,,
absolute_lst,Xinyu,Transitional,4914,8,666.537027175653,0.7981539486925481,1.5988655739128974,0.043591833630540866,0.7256966772749964,0.40817663330535126,,
absolute_lst,Yichang,Mountainous,4905,8,690.3682243524017,0.749194004626939,1.907797812730489,0.9282399075997421,0.7471405056570641,0.5635663172077945,,
absolute_lst,Yichun,Hilly,4963,8,663.4216391169928,0.8266931303271521,1.531709596647843,0.6489452460694373,0.7765189656325444,0.3662571097054003,,
absolute_lst,Yingtan,Hilly,4969,8,665.8980512415075,0.7126785006317993,1.6879674037762855,-0.031058030931866567,0.6474741424689462,0.5004429846111974,,
absolute_lst,Yiyang,Transitional,4888,8,664.737441363558,0.3830883942736233,2.2897942210698656,-1.2304203214742444,0.6250142180933276,0.5283980124285332,,
absolute_lst,Yongzhou,Hilly,4966,8,547.2143331344927,0.2748381643737634,2.3041881464301626,1.4998148395375541,0.6351412910810312,0.5952036621751438,,
absolute_lst,Yueyang,Flat,3814,8,662.8618321647184,0.7306742523708523,1.7616724616497192,-0.5495152524010275,0.6728375929138107,0.5623367920909269,,
absolute_lst,Zhangjiajie,Mountainous,4975,8,544.9525430378703,0.8431248500834556,1.4688452916236368,-0.5264568848333824,0.8324223376013152,0.5181535121242378,,
absolute_lst,Zhuzhou,Transitional,4945,8,545.9523013108269,0.7828927949820828,1.3371355549446762,0.06581966801489166,0.6384485850606505,0.3737245322526229,,
strict_suhi,Changde,Transitional,4889,8,663.2884692962546,0.6625696126183723,1.9783002231715383,-0.39981361857178016,0.6236843002426926,0.4859439421781519,0.9311688311688312,5.0
strict_suhi,Changsha,Transitional,4783,8,869.2033095438601,0.7598517990417715,1.9433734263568705,-1.0289695491523076,0.6812126275648743,0.38379755554956047,0.9272727272727272,4.0
strict_suhi,Chenzhou,Hilly,4952,8,671.874089879477,0.3855544297697997,3.1682030972790267,2.2844298197752133,0.7347463825410598,0.5220069399826917,0.8883116883116883,4.0
strict_suhi,Enshi,Mountainous,4974,8,543.9249230842825,0.6089682049031626,1.884398893585142,1.1084015248033074,0.7530195901119243,0.45717739709627936,0.9675324675324675,4.0
strict_suhi,Ezhou,Transitional,4658,8,431.268740529915,0.8085522610025223,1.3684667601856764,-0.5002208295465802,0.6784361404196294,0.48271786423935165,0.961038961038961,5.0
strict_suhi,Fuzhou,Hilly,4963,8,666.3852661793261,0.6190196577978588,1.8441766375245687,-0.43463393875976014,0.5883230819438683,0.44620707101768575,0.9389610389610389,5.0
strict_suhi,Ganzhou,Hilly,4948,8,838.9662157297645,0.8524760956480562,1.531402083799689,0.3805595159711836,0.7960029152249719,0.3940644892564341,0.9662337662337662,4.0
strict_suhi,Hengyang,Transitional,4857,8,669.586650742403,0.7359196827851926,1.7947105751167178,0.13750028442918624,0.669625788111225,0.4507008506262983,0.9545454545454546,5.0
strict_suhi,Huaihua,Mountainous,4874,8,546.3084988890956,0.8323333025752527,1.5670889903752898,-0.0405635992701681,0.8483851983702594,0.5457447976562292,0.9636363636363635,4.0
strict_suhi,Huanggang,Hilly,4682,8,430.01947070879913,0.8280918309513654,1.3095301923019824,-0.1188440300905955,0.6856350827941239,0.4614781398101001,0.9805194805194805,5.0
strict_suhi,Huangshi,Mountainous,4717,8,749.1616121923321,0.7568738093307472,1.8964124395198385,0.8186620046657073,0.6671213084853417,0.5877800589282653,0.9350649350649349,5.0
strict_suhi,Ji'an,Hilly,4970,8,749.1616149956334,0.7218776685514463,1.6132821283890129,0.4387413977482197,0.6326424571615611,0.44743844049851617,0.9376623376623376,4.0
strict_suhi,Jingdezhen,Hilly,4908,8,662.610081600225,0.6968861487785862,1.8125538155770429,0.45779570105810935,0.7156718340206506,0.49701866815387163,0.9025974025974025,5.0
strict_suhi,Jingmen,Transitional,4883,8,657.5552877361816,0.7322074326375759,1.581911559010986,0.5894011358150641,0.7485175364875059,0.5264738569941186,0.9155844155844156,3.0
strict_suhi,Jingzhou,Flat,4619,8,660.2544393392237,0.7191112533895403,1.7097151351311994,-0.11269479998897335,0.5616739940312824,0.4347510295420467,0.9584415584415583,4.0
strict_suhi,Jiujiang,Flat,4332,8,698.3115446793662,0.745588979404328,2.1407854060829328,1.2250060441345911,0.7554503373010043,0.5800065560253165,0.9571428571428571,4.0
