outcome,feature,mean_abs_shap_k,rank,ci_low_k,ci_high_k,bootstrap_cv_pct,n_cities,bootstrap_draws,category,positive_shap_k,negative_shap_k
strict_suhi,NDVI_mean,0.7137474320438162,1,0.6805131437398425,0.7523027667749979,2.5356711413129864,41,10000,Surface,0.3903310315101852,-0.32341640053363074
strict_suhi,LAI,0.7066687959882355,2,0.6697951928633532,0.7449859367745503,2.694652515592295,41,10000,Surface,0.37929727572328115,-0.32737152026495453
strict_suhi,PLAND_water,0.4366018140839607,3,0.387663457006398,0.4924676826937444,6.097710957494379,41,10000,Urban2D,0.20975756703652834,-0.22684424704743247
strict_suhi,PLAND_imperv,0.3856723738412819,4,0.3707819700150033,0.4016811683058804,2.0210147034736057,41,10000,Urban2D,0.17485709553894735,-0.21081527830233465
strict_suhi,Solar_RAD,0.3476594574445524,5,0.2635948297506051,0.4446021833767795,13.331324285047176,41,10000,Climate,0.16420653201606558,-0.18345292542848687
strict_suhi,AI_imperv,0.3432053480516434,6,0.3211074861872774,0.3660140130661357,3.3162903060873345,41,10000,Urban2D,0.1626971030000493,-0.18050824505159394
strict_suhi,Precip_annual,0.2906761318553422,7,0.2508251035208595,0.3336036369948861,7.277292398639448,41,10000,Climate,0.14489935349383676,-0.14577677836150546
strict_suhi,DEM,0.2669272933841771,8,0.2013399625856338,0.3494069230366551,14.308332294080785,41,10000,Topography,0.12388967620498272,-0.14303761717919442
strict_suhi,EVI_mean,0.1834834031240424,9,0.1776062429811197,0.1896270842437251,1.6742865459319551,41,10000,Surface,0.09170637900510178,-0.09177702411894068
strict_suhi,Tair_mean,0.1508822509943299,10,0.1305503114223215,0.170957061922653,6.83031041171754,41,10000,Climate,0.0848454152241424,-0.0660368357701876
strict_suhi,Tair_max,0.1491988837811333,11,0.1331062256193827,0.1658040882719211,5.641151620427887,41,10000,Climate,0.07259157941470046,-0.076607304366433
strict_suhi,VPD_summer,0.116613858484295,12,0.0964288707084529,0.1400208922691607,9.634691191818078,41,10000,Climate,0.048177567563063864,-0.06843629092123121
strict_suhi,Relative_elevation,0.0892411428229796,13,0.0760970554086088,0.1035984341509215,7.855297320005673,41,10000,Topography,0.041144822047376545,-0.04809632077560317
strict_suhi,Sky_View_Factor,0.0700156295239441,14,0.0640313601730068,0.0768280507111527,4.628670674552731,41,10000,Urban3D,0.03876167644328884,-0.0312539530806554
strict_suhi,Mean_Bld_Height,0.0697284546935012,15,0.063606560142052,0.0764206263747902,4.655855111235738,41,10000,Urban3D,0.03546804689300136,-0.03426040780049989
strict_suhi,Bld_Volume_density,0.0694487804895484,16,0.0649308357656305,0.0741312208031525,3.368707122316318,41,10000,Urban3D,0.03568908646490347,-0.03375969402464502
strict_suhi,Aspect,0.0605823451334251,17,0.0549830766331429,0.0668801934998847,5.026780385703277,41,10000,Topography,0.03027444470144412,-0.030307900431981068
strict_suhi,PLAND_veg,0.0525536618873437,18,0.0475489601507063,0.0575757252328435,4.8401452770393,41,10000,Urban2D,0.024943348750108833,-0.027610313137234957
strict_suhi,Slope,0.051708024207968,19,0.0466701665981496,0.0571054299590725,5.129897544382918,41,10000,Topography,0.025786539961377447,-0.025921484246590607
strict_suhi,TRI,0.0442693052046864,20,0.0418489712988466,0.0466655507809455,2.7510043786809923,41,10000,Topography,0.0235766534609523,-0.020692651743734247
strict_suhi,ED_total,0.0058509868283322,21,0.0052792921702828,0.00645065804163,5.063897177861528,41,10000,Urban2D,0.003198793784661904,-0.0026521930436704385
