model,quantity_basis,budget_fraction,stratum,n_cities,uniform_eligible_core_cooling_k,uniform_eligible_core_cooling_k_ci_low,uniform_eligible_core_cooling_k_ci_high,priority_eligible_core_cooling_k,priority_eligible_core_cooling_k_ci_low,priority_eligible_core_cooling_k_ci_high,difference_k,difference_k_ci_low,difference_k_ci_high,relative_difference_pct,relative_difference_pct_ci_low,relative_difference_pct_ci_high
cooling_alternate18_loco_k,ndvi_uplift,0.25,Flat,8,0.4441489813995964,0.4088125778859417,0.4837732766323779,0.434642869310537,0.3932944457200594,0.4800056882976689,-0.00950611208905944,-0.02816416905712795,0.008228599688474688,-2.2337641136382262,-6.5056172269206805,1.849745237651316
cooling_alternate18_loco_k,ndvi_uplift,0.25,Hilly,14,0.45915258397928893,0.4294888146983096,0.4884941467899214,0.4339877495452197,0.4025481666306227,0.4687173120589944,-0.025164834434069253,-0.040260824738124784,-0.009699755961404195,-5.477868490964633,-8.911538002092762,-1.9588839730848953
cooling_alternate18_loco_k,ndvi_uplift,0.25,Mountainous,7,0.42430206130576825,0.3403974983810923,0.5185080461909418,0.41015522890058564,0.3440660698813059,0.4855107293294236,-0.014146832405182599,-0.03436317247228647,0.005547720090696187,-1.842393021593108,-5.964373835964971,2.9851348407952996
cooling_alternate18_loco_k,ndvi_uplift,0.25,Transitional,12,0.41224323829508247,0.3837261083664847,0.44126983994389946,0.3821760094276278,0.36011610314683473,0.40481285636472775,-0.030067228867454634,-0.04511463905811323,-0.014821762649234294,-6.855968044465224,-10.201866118902371,-3.1790377288378417
cooling_alternate18_loco_k,ndvi_uplift,0.5,Flat,8,0.8882979627991928,0.8181860297643325,0.9675465532647558,0.876641406452886,0.7916372252469802,0.9742125067754781,-0.011656556346306784,-0.040795004045538,0.020798048218480983,-1.5254743519535512,-4.912376711945781,2.1036148083099793
cooling_alternate18_loco_k,ndvi_uplift,0.5,Hilly,14,0.9183051679585779,0.8586650312667745,0.9776382292660141,0.8855661721390902,0.8287268933607929,0.9489710973247153,-0.03273899581948756,-0.05257693292487756,-0.009955611364781508,-3.481711091297271,-5.7929040343646765,-0.8186592493655742
cooling_alternate18_loco_k,ndvi_uplift,0.5,Mountainous,7,0.8486041226115365,0.6827995135447392,1.0370168243472573,0.8348720604073046,0.675104906051423,1.0152510502688028,-0.013732062204231954,-0.029923613361785287,0.002606325533340168,-1.3091765392938153,-3.270671846858921,0.8571081633328522
cooling_alternate18_loco_k,ndvi_uplift,0.5,Transitional,12,0.8244864765901649,0.7670750755016209,0.8827597711260551,0.7920994994251801,0.7427448501646515,0.8428275682536667,-0.0323869771649849,-0.05311946465531341,-0.011352613049676967,-3.671285955344698,-6.088215202013561,-1.1524726502277427
cooling_alternate18_loco_k,vegetation_cover,0.25,Flat,8,0.4441489813995964,0.40932130442183434,0.4834312865117515,0.5222758113549384,0.4511056709137865,0.6089730541966745,0.07812682995534193,0.03678447829111664,0.13343360203416527,16.599084428032103,8.35283832373279,26.787898748543043
cooling_alternate18_loco_k,vegetation_cover,0.25,Hilly,14,0.45915258397928893,0.4296596799959592,0.48822551052733004,0.5051566079743784,0.46875531911558854,0.5460257160358757,0.04600402399508945,0.02448559302460191,0.06911768964423919,10.168899869015842,5.293485604036729,15.510770385291242
