city,year,stratum,cells,valid_pct,mean_c
Huangshi,2023,Mountainous,41609,99.85361171106312,40.53998269084332
Huangshi,2024,Mountainous,41613,99.86321094312454,41.69687613743423
Huangshi,2025,Mountainous,41595,99.82001439884809,39.97907751920525
Ji'an,2020,Hilly,36638,94.84338596945379,36.316105396867215
Ji'an,2021,Hilly,38585,99.88351022521357,37.0021810242913
Ji'an,2022,Hilly,38585,99.88351022521357,40.93888296820455
Ji'an,2023,Hilly,38585,99.88351022521357,36.49580187065021
Ji'an,2024,Hilly,38585,99.88351022521357,39.817475341207796
Ji'an,2025,Hilly,38585,99.88351022521357,39.634630228219066
Jingdezhen,2020,Hilly,20477,71.4106364428945,31.672130520507437
Jingdezhen,2021,Hilly,27838,97.08108108108108,34.28634293195171
Jingdezhen,2022,Hilly,28630,99.84306887532694,38.75511096470768
Jingdezhen,2023,Hilly,27442,95.70008718395815,37.68296360745461
Jingdezhen,2024,Hilly,28628,99.8360941586748,37.12819939009506
Jingdezhen,2025,Hilly,28630,99.84306887532694,37.2139969604321
Jingmen,2020,Transitional,28187,99.74521391415124,35.479823186580745
Jingmen,2021,Transitional,14356,50.80151456173254,33.21466010730148
Jingmen,2022,Transitional,28218,99.85491347889169,34.99252492736224
Jingmen,2023,Transitional,28211,99.83014260943416,35.71743734308603
Jingmen,2024,Transitional,28211,99.83014260943416,38.92644428724827
Jingmen,2025,Transitional,28216,99.8478360876181,37.61812366657324
Jingzhou,2020,Flat,31194,99.80483122700367,35.775833546797514
Jingzhou,2021,Flat,23367,74.76243800991841,34.04704779883809
Jingzhou,2022,Flat,31203,99.83362661974084,38.18985365949237
Jingzhou,2023,Flat,31033,99.28971364581668,33.90180817732323
Jingzhou,2024,Flat,31199,99.82082866741321,41.2605650925434
Jingzhou,2025,Flat,31202,99.83042713165894,36.90675716924454
Jiujiang,2020,Flat,34323,96.21023125437982,36.50552194585441
Jiujiang,2021,Flat,35540,99.62158374211633,36.68233628039934
Jiujiang,2022,Flat,35560,99.67764540995094,40.988794710425736
Jiujiang,2023,Flat,35257,98.82831114225648,38.698809928563435
Jiujiang,2024,Flat,35559,99.67484232655922,38.47027788928625
Jiujiang,2025,Flat,35553,99.65802382620883,39.57633918225724
Loudi,2020,Transitional,22298,95.75710727475737,33.73875712642655
Loudi,2021,Transitional,23033,98.91351026367775,37.85172571657188
Loudi,2022,Transitional,23249,99.84110624409517,41.460055512857764
Loudi,2023,Transitional,22939,98.50983423516276,40.52353191224114
Loudi,2024,Transitional,23139,99.36871940221592,35.932337426254435
Loudi,2025,Transitional,23249,99.84110624409517,38.253889755672105
Nanchang,2020,Flat,54119,99.60796583965251,39.3137313935718
Nanchang,2021,Flat,54204,99.76441139659869,40.054374215398525
Nanchang,2022,Flat,54253,99.85459765883824,42.32856656998047
Nanchang,2023,Flat,47166,86.81071928145477,37.74343158623077
Nanchang,2024,Flat,54255,99.8582787307664,41.3852143258419
Nanchang,2025,Flat,54254,99.85643819480232,40.96492664784142
Pingxiang,2020,Hilly,37581,97.76280533805051,38.814849148784276
Pingxiang,2021,Hilly,37995,98.83978044275644,38.72664718158393
Pingxiang,2022,Hilly,38388,99.86212637548451,39.60548543691857
Pingxiang,2023,Hilly,37985,98.81376655133842,36.2272921457473
Pingxiang,2024,Hilly,38371,99.81790276007388,38.94735448996562
Pingxiang,2025,Hilly,38386,99.8569235972009,37.82028815898144
Qianjiang,2020,Flat,20677,99.83101583623021,37.54063968870338
Qianjiang,2021,Flat,15131,73.05426805716493,34.96261881041306
Qianjiang,2022,Flat,20677,99.83101583623021,38.31628929606569
Qianjiang,2023,Flat,20343,98.21842410196987,37.484861613188286
Qianjiang,2024,Flat,20677,99.83101583623021,39.858761780368525
Qianjiang,2025,Flat,20677,99.83101583623021,38.200198942070415
Shangrao,2020,Hilly,49298,97.86786309854682,38.01569386721229
Shangrao,2021,Hilly,44780,88.89859445723815,38.43488620121849
Shangrao,2022,Hilly,50099,99.4580322401334,41.54177258530376
Shangrao,2023,Hilly,50099,99.4580322401334,38.53643093020355
Shangrao,2024,Hilly,50133,99.52553005638053,40.495825135340795
Shangrao,2025,Hilly,50158,99.57516080362106,37.39844914656328
Shaoyang,2020,Hilly,30834,98.75412356275822,31.668542786514877
Shaoyang,2021,Hilly,29733,95.22787688562919,36.79995788236704
Shaoyang,2022,Hilly,31067,99.50036831822695,39.06031307300998
Shaoyang,2023,Hilly,29881,95.70188642987542,38.262342754490476
Shaoyang,2024,Hilly,31122,99.67652051372386,35.974401214184525
Shaoyang,2025,Hilly,31132,99.70854818563238,36.42713161860564
Shiyan,2020,Mountainous,36580,99.84714488481275,36.33431606527171
Shiyan,2021,Mountainous,31727,86.60061142046075,32.062552409680734
Shiyan,2022,Mountainous,36584,99.85806310732612,36.02818201711426
Shiyan,2023,Mountainous,36580,99.84714488481275,33.78889914478924
Shiyan,2024,Mountainous,36584,99.85806310732612,32.205291736807624
Shiyan,2025,Mountainous,36577,99.83895621792772,35.0687838824565
Suizhou,2020,Hilly,28646,99.77013095569797,35.99772485103682
Suizhou,2021,Hilly,27559,95.98425745332962,33.90430826690823
Suizhou,2022,Hilly,28646,99.77013095569797,37.185117030598406
Suizhou,2023,Hilly,28646,99.77013095569797,38.135680789871174
Suizhou,2024,Hilly,28646,99.77013095569797,38.10905451429937
Suizhou,2025,Hilly,28646,99.77013095569797,37.881654285637126
Tianmen,2020,Flat,24927,99.81580106515037,35.6282525549164
Tianmen,2021,Flat,22627,90.60585432266848,35.97334758435761
