outcome,category,contrast,difference_pp,ci_low_pp,ci_high_pp,algorithm
absolute_lst,Climate,Mountainous minus Flat,-1.39884422768057,-6.084064089425009,3.435476888892283,CatBoost
absolute_lst,Surface,Mountainous minus Flat,-5.836560180312922,-9.297062341101045,-2.4342543671314543,CatBoost
absolute_lst,Urban2D,Mountainous minus Flat,-5.426155710623977,-9.555569525578608,-0.8058466555184653,CatBoost
absolute_lst,Urban3D,Mountainous minus Flat,-1.7080205500857928,-2.439187105905571,-0.8661815365846682,CatBoost
absolute_lst,Topography,Mountainous minus Flat,14.369580668703268,6.649373419843362,22.740984408954624,CatBoost
strict_suhi,Climate,Mountainous minus Flat,10.482243918776682,5.227955082801441,14.454614457518304,CatBoost
strict_suhi,Surface,Mountainous minus Flat,-9.022787344476576,-13.107327840111166,-4.736919827035051,CatBoost
strict_suhi,Urban2D,Mountainous minus Flat,-9.813490213509006,-13.404719932379862,-5.335096618910231,CatBoost
strict_suhi,Urban3D,Mountainous minus Flat,-2.3332864019936164,-3.140242183497286,-1.3004172294526088,CatBoost
strict_suhi,Topography,Mountainous minus Flat,10.687320041202506,6.15070817788432,15.46571694844191,CatBoost
absolute_lst,Climate,Mountainous minus Flat,-0.6305712797473007,-4.7154233019805005,3.2436414967812084,LightGBM
absolute_lst,Surface,Mountainous minus Flat,-6.434689984039277,-9.056126195112936,-3.734051346921147,LightGBM
absolute_lst,Urban2D,Mountainous minus Flat,-5.505675432246207,-9.444753371333924,-1.2548811857677251,LightGBM
absolute_lst,Urban3D,Mountainous minus Flat,-1.8104408154057392,-2.539944749183729,-0.9925220552366788,LightGBM
absolute_lst,Topography,Mountainous minus Flat,14.381377511438508,7.249459409061389,21.509056271351263,LightGBM
strict_suhi,Climate,Mountainous minus Flat,10.285500379123995,5.01427591583038,14.48872144410814,LightGBM
strict_suhi,Surface,Mountainous minus Flat,-7.511296096316617,-10.137445994111948,-4.50622824698715,LightGBM
strict_suhi,Urban2D,Mountainous minus Flat,-8.010588646334007,-11.675774523936123,-3.682758722231303,LightGBM
strict_suhi,Urban3D,Mountainous minus Flat,-2.275781025862189,-3.0150526874634966,-1.3406616433324152,LightGBM
strict_suhi,Topography,Mountainous minus Flat,7.512165389388807,4.397450745679042,10.78840226140093,LightGBM
absolute_lst,Climate,Mountainous minus Flat,-2.441592295770306,-6.336257011240488,1.4981925609607505,RandomForest
absolute_lst,Surface,Mountainous minus Flat,-5.896803802644406,-8.77776036313788,-2.892781609409861,RandomForest
absolute_lst,Urban2D,Mountainous minus Flat,-10.863191367251762,-16.102344433201303,-4.91107369868755,RandomForest
absolute_lst,Urban3D,Mountainous minus Flat,-0.7144486138682529,-1.0360787944224272,-0.3327330151863673,RandomForest
absolute_lst,Topography,Mountainous minus Flat,19.916036079534745,10.350851682284633,28.893467036475503,RandomForest
strict_suhi,Climate,Mountainous minus Flat,11.775102542722662,6.774409121091796,15.42904557502921,RandomForest
strict_suhi,Surface,Mountainous minus Flat,-6.674479585268017,-8.877084101878092,-3.817427073628453,RandomForest
strict_suhi,Urban2D,Mountainous minus Flat,-10.409227601006512,-13.96749635334709,-6.004879692274608,RandomForest
strict_suhi,Urban3D,Mountainous minus Flat,-1.253395933993879,-1.6184957313872317,-0.7238089285188983,RandomForest
strict_suhi,Topography,Mountainous minus Flat,6.562000577545735,4.29868619496669,8.695273659780554,RandomForest
absolute_lst,Climate,Mountainous minus Flat,-1.387991,-5.817861843109131,2.854209852218628,XGBoost
absolute_lst,Surface,Mountainous minus Flat,-5.748657,-8.160304880142212,-3.2176295280456544,XGBoost
absolute_lst,Urban2D,Mountainous minus Flat,-6.6079464,-10.798635244369509,-1.99628887176514,XGBoost
absolute_lst,Urban3D,Mountainous minus Flat,-1.4106002,-2.071286487579345,-0.6793049931526186,XGBoost
absolute_lst,Topography,Mountainous minus Flat,15.155189,7.7257623195648195,22.68209991455078,XGBoost
strict_suhi,Climate,Mountainous minus Flat,9.20611,4.159187364578247,13.178171396255491,XGBoost
strict_suhi,Surface,Mountainous minus Flat,-6.7566986,-9.33791799545288,-3.90441637039185,XGBoost
strict_suhi,Urban2D,Mountainous minus Flat,-8.192032,-11.914547204971312,-3.8288804054260255,XGBoost
strict_suhi,Urban3D,Mountainous minus Flat,-2.0759401,-2.78930379152298,-1.1725145339965826,XGBoost
strict_suhi,Topography,Mountainous minus Flat,7.8185587,4.548372149467468,11.22994441986084,XGBoost
