stratum_a,stratum_b,difference_b_minus_a_k,ci_low_k,ci_high_k,p_centered_bootstrap,p_holm_six,response_metric
Flat,Transitional,0.030979565833049616,-0.11726170839604314,0.19320039254720509,0.6975302469753024,1.0,matched_area_mean_cooling
Flat,Hilly,0.1768714393977029,-0.011439155944708622,0.37536702182529047,0.07549245075492451,0.4529547045295471,matched_area_mean_cooling
Flat,Mountainous,0.01744572476578332,-0.24267521639686832,0.2770864146835341,0.8959104089591041,1.0,matched_area_mean_cooling
Transitional,Hilly,0.14589187356465327,-0.06035889552989795,0.35848661478822447,0.17048295170482952,0.8524147585241476,matched_area_mean_cooling
Transitional,Mountainous,-0.013533841067266295,-0.2806742746666214,0.25879578389134755,0.9248075192480751,1.0,matched_area_mean_cooling
Hilly,Mountainous,-0.15942571463191957,-0.46121086744940043,0.12858568598550657,0.3020697930206979,1.0,matched_area_mean_cooling
