outcome,category,contrast,difference_pp,ci_low_pp,ci_high_pp,nominal_scale_m,algorithm
absolute_lst,Climate,Mountainous minus Flat,0.6649447741901575,-3.15909763099608,4.414144263631472,1000,
absolute_lst,Surface,Mountainous minus Flat,-3.4434008540019967,-6.986119202641651,-0.0736725094091718,1000,
absolute_lst,Urban2D,Mountainous minus Flat,-8.589401919686566,-13.768976444965382,-2.604417581439688,1000,
absolute_lst,Urban3D,Mountainous minus Flat,-1.145558878128806,-1.6606316337532276,-0.5622039617149647,1000,
absolute_lst,Topography,Mountainous minus Flat,12.513416877627204,5.137868333957558,20.47879935415532,1000,
strict_suhi,Climate,Mountainous minus Flat,9.370154228982791,4.370477865081346,13.264062393929446,1000,
strict_suhi,Surface,Mountainous minus Flat,-5.585541788470973,-9.756148862434888,-1.6205197043035928,1000,
strict_suhi,Urban2D,Mountainous minus Flat,-12.0410921093658,-17.03581289103741,-5.932042224416277,1000,
strict_suhi,Urban3D,Mountainous minus Flat,-1.4764034934315478,-2.028763988923677,-0.7831462864061554,1000,
strict_suhi,Topography,Mountainous minus Flat,9.732883162285532,4.941551965157719,14.846969441347849,1000,
absolute_lst,Climate,Mountainous minus Flat,1.8383344217950215,-2.1734036481151837,5.893370024301619,2000,
absolute_lst,Surface,Mountainous minus Flat,-3.65999989983056,-7.132296067340269,-0.2534085460914029,2000,
absolute_lst,Urban2D,Mountainous minus Flat,-9.734576846841016,-14.8310700855003,-3.854724731049529,2000,
absolute_lst,Urban3D,Mountainous minus Flat,0.2891461744500945,-0.2386853794311018,0.8023987647732487,2000,
absolute_lst,Topography,Mountainous minus Flat,11.26709615042647,4.16497828446539,19.092788271322654,2000,
strict_suhi,Climate,Mountainous minus Flat,10.787351335637098,5.458609894590208,14.92941182549815,2000,
strict_suhi,Surface,Mountainous minus Flat,-4.355039405496328,-8.271379470889642,-0.4943529632516685,2000,
strict_suhi,Urban2D,Mountainous minus Flat,-13.18932482572632,-18.34138614108029,-6.91621393638999,2000,
strict_suhi,Urban3D,Mountainous minus Flat,-1.0249843494928077,-1.4591199927939251,-0.4679290698403318,2000,
strict_suhi,Topography,Mountainous minus Flat,7.781997245078347,3.733034336428377,12.13740831093647,2000,
absolute_lst,Climate,Mountainous minus Flat,-1.39884422768057,-6.084064089425009,3.435476888892283,250,CatBoost
absolute_lst,Surface,Mountainous minus Flat,-5.836560180312922,-9.297062341101045,-2.4342543671314543,250,CatBoost
absolute_lst,Urban2D,Mountainous minus Flat,-5.426155710623977,-9.555569525578608,-0.8058466555184653,250,CatBoost
absolute_lst,Urban3D,Mountainous minus Flat,-1.7080205500857928,-2.439187105905571,-0.8661815365846682,250,CatBoost
absolute_lst,Topography,Mountainous minus Flat,14.369580668703268,6.649373419843362,22.740984408954624,250,CatBoost
strict_suhi,Climate,Mountainous minus Flat,10.482243918776682,5.227955082801441,14.454614457518304,250,CatBoost
strict_suhi,Surface,Mountainous minus Flat,-9.022787344476576,-13.107327840111166,-4.736919827035051,250,CatBoost
strict_suhi,Urban2D,Mountainous minus Flat,-9.813490213509006,-13.404719932379862,-5.335096618910231,250,CatBoost
strict_suhi,Urban3D,Mountainous minus Flat,-2.3332864019936164,-3.140242183497286,-1.3004172294526088,250,CatBoost
strict_suhi,Topography,Mountainous minus Flat,10.687320041202506,6.15070817788432,15.46571694844191,250,CatBoost
absolute_lst,Climate,Mountainous minus Flat,-0.0988713344827729,-4.220924126480937,4.049617180025376,500,
absolute_lst,Surface,Mountainous minus Flat,-5.393372635210106,-8.820407116691465,-2.198138828791184,500,
absolute_lst,Urban2D,Mountainous minus Flat,-6.581289693384878,-11.15230940415983,-1.2285781613106972,500,
absolute_lst,Urban3D,Mountainous minus Flat,-1.5269764381996351,-2.143129178586555,-0.8053749009083975,500,
absolute_lst,Topography,Mountainous minus Flat,13.6005101012774,5.874462201265376,22.01429020678805,500,
strict_suhi,Climate,Mountainous minus Flat,9.316717849912862,4.397597867688878,13.17205001279024,500,
strict_suhi,Surface,Mountainous minus Flat,-7.419565717379644,-11.362183716708756,-3.5307656568450003,500,
strict_suhi,Urban2D,Mountainous minus Flat,-10.154890805572713,-14.632842445038804,-4.640146073852596,500,
strict_suhi,Urban3D,Mountainous minus Flat,-2.1621228081129136,-2.8866752484463247,-1.2435726609708109,500,
strict_suhi,Topography,Mountainous minus Flat,10.419861481152411,5.503480463848824,15.490243401270396,500,
