city,province,stratum,unique_roi_cells,unique_roi_lst_mean_c,unique_roi_dem_mean_m,unique_roi_slope_mean_deg,full_roi_total_cells,full_roi_quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k,annual_average_max_error_k,valid_six_year_cells,valid_five_year_cells,valid_four_year_cells,clear_observations_median,clear_observations_q25,clear_observations_q75,full_roi_lst_mean_c
Ji'an,Jiangxi,Hilly,38585,38.38272164977167,104.11042933424186,7.810335707282666,38630,38585,1680,10753,18685,7220,316.0491508293947,316.8703556,61.87098376295854,123.43674692036986,5.07746718027737,11.86651695256344,7,310.4329112779157,5.616239551478998,310.54929728,5.499853549394686,310.36358679904265,5.685564030352055,309.8867699259259,6.162380903468829,311.2151977718401,4.833953057554595,0.0,36638,1947,0,26.0,24.0,34.0,38.38272164977167
Jingdezhen,Jiangxi,Hilly,28625,36.34587300585645,115.23834500754192,15.48689689426815,28675,28625,1601,10408,17646,9208,315.9075138123473,316.55191007,49.16114648213991,136.41193359179462,7.198212796398053,11.951855336684268,5,308.21693562786345,7.690578184483854,308.17206437,7.735449442347317,308.23301836913873,7.674495443208571,308.00908933075635,7.898424481590951,309.0989511206418,6.808562691705504,0.0,19178,8774,673,34.0,21.0,42.0,36.34587300585645
Jingmen,Hubei,Transitional,28214,36.32775087107041,119.6667688277778,6.0708635318273,28259,28214,1293,6410,10618,2705,315.70293494436544,316.14630503,107.5261169255268,144.75230128120717,6.276577985917811,11.854063723919664,7,307.74717368538245,7.955761258982989,307.737121325,7.965813619365463,307.8254221869255,7.877512757439945,306.5929848826091,9.109950061756363,308.39059862818993,7.312336316175504,0.0,14332,13864,18,32.0,19.0,36.0,36.32775087107041
Jingzhou,Hubei,Flat,31201,36.7978516484705,34.36512646944688,2.9048625249606053,31255,31201,2485,5622,9231,1174,314.7255071529666,315.726743075,35.05267782063171,35.495132405291336,7.980804165251321,11.976584970392835,2,308.8595021872895,5.866004965677121,308.5518918425,6.173615310466573,308.93350384901106,5.792003303955539,308.3665076863458,6.358999466620787,308.8672856575457,5.858221495420878,0.0,23259,7866,76,16.0,14.0,17.0,36.7978516484705
Jiujiang,Jiangxi,Flat,35543,38.46450834096351,104.85088503181228,7.397088625963871,35675,35543,2562,6041,11212,3593,318.66457747008434,319.9415889875,38.32223228351128,164.9758263595328,6.525622969374759,11.9840819745302,9,310.0400478419008,8.624529628183552,310.27984337,8.384734100084358,309.83770469224453,8.82687277783981,308.8650988105319,9.799478659552449,311.71174398236826,6.952833487716077,0.0,34214,1138,191,62.0,53.0,68.0,38.46450834096351
Loudi,Hunan,Transitional,23249,37.99232345596414,170.51483217307592,11.171111419185957,23286,23249,1133,4508,7653,2917,317.9934237029929,317.989472315,126.6292940969958,230.86566719532087,6.147887312397032,11.727730591926909,5,308.83909705133334,9.154326651659574,308.980141265,9.013282437992927,308.96413306160014,9.029290641392777,308.0483209142928,9.945102788700126,310.7515821634657,7.241841539527229,0.0,21718,1475,56,21.0,19.0,22.0,37.99232345596414
Nanchang,Jiangxi,Flat,54252,40.37235462887753,55.059984619637646,5.047116756135581,54332,54252,9267,9547,16817,4437,318.7851139230972,319.28746541000004,26.02671200315475,91.34297938152604,5.083514319628314,10.92492849640723,4,310.8803089294279,7.904804993669245,310.836126125,7.948987798097164,310.72354262940974,8.061571293687393,309.8313397395748,8.953774183522398,311.665359080736,7.1197548423611465,0.0,47048,7139,65,34.0,25.0,45.0,40.37235462887753
Pingxiang,Jiangxi,Hilly,38358,38.33254654866141,228.57135125978812,14.257782229504912,38441,38358,2311,9921,17178,7771,318.2403318363046,318.40162856,122.73796832163195,339.3755495430634,6.276444151844999,11.801615257958268,9,308.5295928134656,9.71073902283905,308.55630678500006,9.68402505130456,308.846774936849,9.393556899455632,307.8658763445736,10.374455491731055,312.0101629613804,6.2301688749242885,0.0,36974,1237,147,43.0,28.0,49.0,38.33254654866141
Qianjiang,Hubei,Flat,20115,37.89336209929701,31.92674474258848,3.1773901274015133,20712,20677,534,3826,6513,867,317.2747236880056,317.78097309500004,35.05293536000347,31.07560307247221,9.270884332680534,12.16230570836876,2,310.0045386989574,7.270184989048175,309.76115883500006,7.513564853005505,310.26419101981713,7.010532668188432,310.14495073761765,7.129772950387917,310.132814187574,7.141909500431552,0.0,14994,5486,197,38.0,16.0,42.0,37.888596444489394
Shangrao,Jiangxi,Hilly,50088,39.062247062422216,161.47857515781536,12.893655275320562,50372,50088,2781,12371,22709,9556,317.4896869765739,317.967767888,96.31627192411143,245.0687116004153,6.268787476937703,11.854219529755284,6,310.2631298503742,7.226557126199737,310.11919643,7.370490546573933,310.5220889462458,6.9675980303281335,309.75116917437043,7.738517802203489,313.994751881636,3.494935094937944,0.0,44335,5338,415,24.0,23.0,26.0,39.062247062422216
