stratum_a,stratum_b,difference_b_minus_a_k,ci_low_k,ci_high_k,p_centered_bootstrap,p_holm_six,response_metric
Flat,Transitional,-0.12271030957504458,-0.30659125738142246,0.05902275426666145,0.18038196180381963,0.9019098090190981,eligible_core_mean_cooling
Flat,Hilly,0.03540127547855065,-0.14132167475360738,0.20106274745734862,0.6742325767423257,1.0,eligible_core_mean_cooling
Flat,Mountainous,-0.09124738199743554,-0.4107887627461737,0.2523852970291333,0.6004399560043996,1.0,eligible_core_mean_cooling
Transitional,Hilly,0.15811158505359524,-0.01203588239431194,0.3206565287208591,0.06239376062393761,0.37436256374362564,eligible_core_mean_cooling
Transitional,Mountainous,0.031462927577609046,-0.2861264884222526,0.3816546634640355,0.8586141385861414,1.0,eligible_core_mean_cooling
Hilly,Mountainous,-0.1266486574759862,-0.44186822316742713,0.2090773220082706,0.44995500449955006,1.0,eligible_core_mean_cooling
