scheme,mode,category,mountainous_minus_flat_share,ci_low,ci_high,bootstrap_fraction_positive,aggregation
alternate18,full_fit,Climate,0.08962141401016238,0.0364239538549807,0.13197609647485284,0.9991,sum_abs_member_shap
alternate18,full_fit,Surface,-0.08198942704482132,-0.11841374257094882,-0.04277200004229654,0.0,sum_abs_member_shap
alternate18,full_fit,Topography,0.1099812506672097,0.06313770256583538,0.1598311870829073,1.0,sum_abs_member_shap
alternate18,full_fit,Urban2D,-0.09450240372485386,-0.13184771866628595,-0.047437447767839445,0.0003,sum_abs_member_shap
alternate18,full_fit,Urban3D,-0.023110833907696922,-0.03203208111422407,-0.012442745794339773,0.0,sum_abs_member_shap
alternate18,heldout_city,Climate,0.11480146090313509,0.06783851396870812,0.16309027146513916,1.0,sum_abs_member_shap
alternate18,heldout_city,Surface,-0.09521109421892021,-0.1328181564113778,-0.05782017640960161,0.0,sum_abs_member_shap
alternate18,heldout_city,Topography,0.11121130969203771,0.05553033015066401,0.18063424880502535,1.0,sum_abs_member_shap
alternate18,heldout_city,Urban2D,-0.10609440169372986,-0.14818075275204143,-0.05833522470304266,0.0,sum_abs_member_shap
alternate18,heldout_city,Urban3D,-0.024707274682522807,-0.03341711986877033,-0.01437524995755083,0.0,sum_abs_member_shap
formula21,full_fit,Climate,0.09308005999672381,0.04321805041887457,0.12978334726940563,0.9995,sum_abs_member_shap
formula21,full_fit,Surface,-0.08352493154001628,-0.12202065859137536,-0.04277295149222266,0.0,sum_abs_member_shap
formula21,full_fit,Topography,0.11244829323656627,0.06503874186261051,0.1608202380841538,1.0,sum_abs_member_shap
formula21,full_fit,Urban2D,-0.09849630005846033,-0.13674348065714959,-0.051369200213229174,0.0001,sum_abs_member_shap
formula21,full_fit,Urban3D,-0.023507121634813374,-0.032011014475945766,-0.0128027007974062,0.0,sum_abs_member_shap
formula21,heldout_city,Climate,0.11735474236410395,0.06794110210883567,0.1647576880285301,1.0,sum_abs_member_shap
formula21,heldout_city,Surface,-0.09623548683503064,-0.13712102956566552,-0.05593618519128771,0.0,sum_abs_member_shap
formula21,heldout_city,Topography,0.10925937379737208,0.05287823345284951,0.18048030063101572,1.0,sum_abs_member_shap
formula21,heldout_city,Urban2D,-0.10511722818888194,-0.1452940585490421,-0.05875013534197581,0.0,sum_abs_member_shap
formula21,heldout_city,Urban3D,-0.025261401137563415,-0.034109401734089544,-0.01442947379189967,0.0,sum_abs_member_shap
full23,full_fit,Climate,0.10331487240313098,0.05085178897280662,0.14218144119002074,0.9996,sum_abs_member_shap
full23,full_fit,Surface,-0.09133929799054152,-0.1320459384636702,-0.047096654225124664,0.0,sum_abs_member_shap
full23,full_fit,Topography,0.10755574074621567,0.05760477094476749,0.16051775042859642,1.0,sum_abs_member_shap
full23,full_fit,Urban2D,-0.09487607794198688,-0.13254865695394702,-0.04882440199876069,0.0001,sum_abs_member_shap
full23,full_fit,Urban3D,-0.024655237216818136,-0.033218753761855783,-0.014076315142865179,0.0,sum_abs_member_shap
full23,heldout_city,Climate,0.10648188537345618,0.06141311373984536,0.15389305573823564,1.0,sum_abs_member_shap
full23,heldout_city,Surface,-0.09444224750103769,-0.13588966115753898,-0.05415596342753242,0.0,sum_abs_member_shap
full23,heldout_city,Topography,0.11202128546817357,0.05466775575109075,0.18215813163015152,1.0,sum_abs_member_shap
full23,heldout_city,Urban2D,-0.10047982061477834,-0.13944128137028414,-0.05631750184828207,0.0,sum_abs_member_shap
full23,heldout_city,Urban3D,-0.023581102725813603,-0.03255602528363632,-0.012903841894080755,0.0,sum_abs_member_shap
no_far22,full_fit,Climate,0.08802999375742446,0.03674896872206533,0.12635371514385824,0.999,sum_abs_member_shap
no_far22,full_fit,Surface,-0.08117096177703437,-0.11968644206372446,-0.039562759697942956,0.0,sum_abs_member_shap
no_far22,full_fit,Topography,0.10738942383967004,0.06156944700281923,0.1554628023912774,1.0,sum_abs_member_shap
no_far22,full_fit,Urban2D,-0.09118380927953065,-0.12667602411856987,-0.04719634603010007,0.0001,sum_abs_member_shap
