scheme,n_folds,mean_fold_r2,mean_fold_rmse_k,mean_fold_mae_k
full23,5,0.8189528636993362,1.4559902344786084,1.0800012571462385
no_far22,5,0.8190850913516841,1.4554539308909935,1.0801174662637603
formula21,5,0.8188323693267379,1.4564757969124142,1.080738394237399
representative18,5,0.8174939903073367,1.461845501015299,1.0833065590616684
alternate18,5,0.8141503238618807,1.475159667781472,1.0926818028883651
