scheme,mode,category,mountainous_minus_flat_share,ci_low,ci_high,bootstrap_fraction_positive
alternate18,full_fit,Climate,0.09371200116323283,0.030616085788449033,0.14859998356043222,0.9977
alternate18,full_fit,Surface,-0.06992701482728392,-0.12420179141657803,-0.018162721110338752,0.0037
alternate18,full_fit,Topography,0.13395532335391075,0.07552996459693678,0.19198086025464192,1.0
alternate18,full_fit,Urban2D,-0.1322090378011989,-0.17504357333214585,-0.07396243920689981,0.0
alternate18,full_fit,Urban3D,-0.025531271888660903,-0.03542390306224869,-0.013292926664930108,0.0001
alternate18,heldout_city,Climate,0.0747979900170663,0.012277539509435848,0.1413043285647958,0.9924
alternate18,heldout_city,Surface,-0.07029740911788507,-0.12069189546724803,-0.016452622324251133,0.0045
alternate18,heldout_city,Topography,0.15448034531844185,0.07886758071127518,0.24483875585301768,1.0
alternate18,heldout_city,Urban2D,-0.13306803441811468,-0.18019015168228064,-0.07415073687864893,0.0
alternate18,heldout_city,Urban3D,-0.025912891799508314,-0.03592932009804775,-0.01392421297587686,0.0
formula21,full_fit,Climate,0.08698254397531294,0.022961505452586302,0.1405310422876708,0.9954
formula21,full_fit,Surface,-0.06804139518071262,-0.12595490883524293,-0.011800754405646352,0.0088
formula21,full_fit,Topography,0.1412389583916344,0.08331732926570162,0.19709999529911942,1.0
formula21,full_fit,Urban2D,-0.1338172056916036,-0.17742539362752682,-0.07505699051281095,0.0
formula21,full_fit,Urban3D,-0.02636290149463117,-0.03644392882637895,-0.013715010266751664,0.0
formula21,heldout_city,Climate,0.07283522959733701,0.011887528003226941,0.13519698715236697,0.9915
formula21,heldout_city,Surface,-0.06665259905553444,-0.12358687328390265,-0.006636569380901643,0.0145
formula21,heldout_city,Topography,0.1560412759490698,0.07831878767303323,0.24839785236999917,1.0
formula21,heldout_city,Urban2D,-0.1352982472331481,-0.1815461336064814,-0.07728177026897182,0.0
formula21,heldout_city,Urban3D,-0.026925659257724166,-0.03755586148120407,-0.014233413569818245,0.0
full23,full_fit,Climate,0.09719146648215896,0.03374913206776425,0.14968513078561657,0.9978
full23,full_fit,Surface,-0.07557485686369136,-0.13536678264958646,-0.016563788287009006,0.0056
full23,full_fit,Topography,0.13835167223238537,0.07756304859798892,0.19898408397421516,1.0
full23,full_fit,Urban2D,-0.13244706285479999,-0.17585648554321417,-0.07437140164176051,0.0
full23,full_fit,Urban3D,-0.027521218996052914,-0.03736678227804291,-0.015058885360762936,0.0
full23,heldout_city,Climate,0.06140485447208538,-0.0013943690807443213,0.12704228309843593,0.9714
full23,heldout_city,Surface,-0.06112865645439253,-0.11842518908890237,6.153508529144918e-05,0.0253
full23,heldout_city,Topography,0.1554187773568909,0.07620237223816287,0.24935814472364343,1.0
full23,heldout_city,Urban2D,-0.13034586245494778,-0.1758430370612219,-0.07299351527062833,0.0
full23,heldout_city,Urban3D,-0.02534911291963604,-0.03596762455230636,-0.01278673925537015,0.0
no_far22,full_fit,Climate,0.08625171589408545,0.023846155289034093,0.13828114506148234,0.9954
no_far22,full_fit,Surface,-0.06380066119537414,-0.1206141113289302,-0.00785214472252411,0.0126
no_far22,full_fit,Topography,0.13475082842894717,0.07768300155967194,0.1912069024853146,1.0
no_far22,full_fit,Urban2D,-0.1311425041350863,-0.17328157198822164,-0.0743137046579488,0.0
no_far22,full_fit,Urban3D,-0.026059378992572137,-0.036032178222896345,-0.013448244643453676,0.0001
no_far22,heldout_city,Climate,0.07320192393256655,0.008711766370573337,0.1399176113772157,0.9874
no_far22,heldout_city,Surface,-0.07059881392389555,-0.12668300864573123,-0.01124723055424112,0.0091
no_far22,heldout_city,Topography,0.15508950714383404,0.07797526118154405,0.24633934497343632,1.0
no_far22,heldout_city,Urban2D,-0.1308546596233896,-0.17756738270444225,-0.07235810494558355,0.0
no_far22,heldout_city,Urban3D,-0.026837957529115483,-0.037247272738755804,-0.014032427588055394,0.0
representative18,full_fit,Climate,0.09562151612760045,0.0319054560560439,0.14959297431557408,0.9979
representative18,full_fit,Surface,-0.07245735928282271,-0.13180763721982783,-0.014146439067598058,0.0065
representative18,full_fit,Topography,0.135417778424262,0.07462877569248431,0.1962028590876554,1.0
representative18,full_fit,Urban2D,-0.13142643018443492,-0.17278314296994687,-0.07481747878332273,0.0
representative18,full_fit,Urban3D,-0.027155505084604792,-0.03723837343122324,-0.014434828974075208,0.0
representative18,heldout_city,Climate,0.06583024373197,-0.0017582868578558633,0.1360850379550421,0.9713
representative18,heldout_city,Surface,-0.06760820468110879,-0.12559023520602786,-0.0058564598106179075,0.0156
representative18,heldout_city,Topography,0.15527237203912683,0.08010914764591281,0.24420022527373475,1.0
representative18,heldout_city,Urban2D,-0.12903268351805422,-0.17615545123050524,-0.06964119844751504,0.0
representative18,heldout_city,Urban3D,-0.024461727571933767,-0.03545695042157932,-0.011378081825224363,0.0001
