city,province,stratum,total_cells,quality_valid_cells,urban_cells,strict_rural_cells,broad_rural_cells,conservative_rural_cells,urban_mean_lst_k,urban_median_lst_k,urban_mean_dem_m,strict_rural_mean_dem_m,elevation_match_abs_dem_median_m,elevation_match_abs_dem_q95_m,elevation_match_rural_bands,rural_strict_mean_lst_k,city_suhi_strict_mean_k,rural_strict_median_lst_k,city_suhi_strict_median_k,rural_broad_mean_lst_k,city_suhi_broad_mean_k,rural_conservative_mean_lst_k,city_suhi_conservative_mean_k,rural_elevation_matched_lst_k,city_suhi_elevation_matched_k
Pingxiang,Jiangxi,Hilly,38441,38358,2311,9921,17178,7771,318.2403318363046,318.40162856,122.73796832163197,339.3755495430634,6.2764441518449985,11.801615257958268,9,308.52959281346557,9.71073902283905,308.55630678500006,9.684025051304559,308.846774936849,9.393556899455632,307.86587634457356,10.374455491731055,312.01016296138033,6.2301688749242885
Shangrao,Jiangxi,Hilly,50372,50088,2781,12371,22709,9556,317.4896869765739,317.96776788799997,96.31627192411145,245.0687116004153,6.268787476937703,11.854219529755284,6,310.2631298503742,7.226557126199737,310.11919643,7.370490546573933,310.5220889462458,6.9675980303281335,309.75116917437043,7.738517802203489,313.994751881636,3.4949350949379436
Shaoyang,Hunan,Hilly,31223,31115,1828,7667,12417,5422,315.20851337225656,315.69455672,241.73604146963498,423.4069962087501,6.117471244013501,12.138866786416113,5,307.0116545154058,8.196858856850781,307.3625633,7.845950072256585,307.545989412744,7.662523959512555,306.3346004672228,8.873912905033762,308.66630935211685,6.542204020139707
Suizhou,Hubei,Hilly,28712,28646,1364,7086,12418,3182,315.6959253479985,316.1364782225,74.71245898734034,112.55282082224556,5.874208595126547,11.861212792875037,4,308.9545730427837,6.741352305214832,308.9500911725,6.745834175498544,309.1055147918469,6.590410556151653,308.57968656456444,7.116238783434085,309.4982121731573,6.197713174841226
Xianning,Hubei,Hilly,28166,28133,1329,7405,12644,4896,319.67238889999095,319.99556521999995,45.22523091268236,117.76516883447228,5.896434355380691,11.754925810125851,7,311.0924617080894,8.579927191901561,311.3445566,8.327832299990973,311.2836131330937,8.388775766897254,310.62001152479166,9.052377375199285,312.23662260201723,7.435766297973714
Yichun,Jiangxi,Hilly,27053,26963,1947,8784,14467,6794,319.01328370714174,319.52159978000003,112.44802316712425,248.4336615877027,6.746940401271431,11.979135701340033,6,309.59620293874747,9.417080768394271,309.8373521975,9.175931509641714,309.94680762143946,9.066476085702277,309.0958903523502,9.917393354791557,311.1864920831789,7.8267916239628335
Yingtan,Jiangxi,Hilly,31756,31711,1268,9180,15251,5991,318.4042534448123,319.02057501499996,40.189367610731765,80.43629263374442,6.783996793011621,11.831698710592931,4,311.1264951091278,7.277758335684496,310.9279854125,7.476268032312305,311.7032810561781,6.70097238863417,310.7160560345638,7.688197410248506,311.72957314782815,6.67468029698415
Yongzhou,Hunan,Hilly,21952,21925,871,5971,10179,3309,319.26156046795063,320.1402614,118.42875807096807,152.29754923882226,5.685650508012344,11.624479831114755,4,311.5005676225929,7.760992845357748,311.564734055,7.6968264129506565,311.7169123151426,7.5446481528080085,311.1007013597725,8.160859108178158,311.700505212029,7.561055255921644
Enshi,Hubei,Mountainous,23284,19834,977,6884,10789,5060,313.15557618826097,313.5614274050001,447.43339095529404,890.939132708295,6.699116528232025,11.890328872393399,7,305.0999575726319,8.055618615629044,305.0309324735,8.124643714760964,305.10133049052985,8.054245697731119,304.8235525312087,8.332023657052275,306.189081959126,6.96649422913498
Huaihua,Hunan,Mountainous,21772,21668,736,8047,13511,6791,318.1269103496542,318.62465436499997,247.73346984242875,435.1819753107822,5.647826080649935,11.840028153585038,7,306.25148022042976,11.875430129224469,306.415543892,11.711366457654208,306.53553468660084,11.591375663053384,305.8420306537361,12.284879695918107,308.5865897132274,9.540320636426827
Huangshi,Hubei,Mountainous,41670,41613,3374,6310,10684,3375,316.9107172429075,317.83124647249997,41.37326671647318,150.53132784208063,5.716323551379116,11.835271114304186,16,310.71761284489287,6.193104398014611,310.8701639075,6.0405533354074805,310.8988754141318,6.011841828775687,309.4054745931876,7.505242649719889,312.22105328532024,4.689663957587243
Shiyan,Hubei,Mountainous,36636,36581,2635,11342,20754,9921,313.7474449173355,313.633205825,279.7526418484786,522.9758858737282,6.312306418959963,11.89496105521406,14,306.1260167062493,7.621428211086197,306.2396013125,7.5078436048355,306.2224796451403,7.524965272195175,305.81318591905125,7.9342589982842355,308.10117605133854,5.646268865996944
Xiangxi,Hunan,Mountainous,22374,22325,538,9181,15588,8272,315.1810864655725,316.11183999499997,243.18714134561228,464.0426617311363,5.514307878993151,11.830210710192992,10,306.68296396965314,8.498122495919347,306.65275448,8.528331985572493,306.95882786336443,8.222258602208058,306.54075340846236,8.640333057110126,307.62178728812853,7.559299177443961
Yichang,Hubei,Mountainous,33739,33701,2519,8548,14914,6710,314.0818148439698,315.004971185,88.26618225988176,384.384120592126,6.303851566775464,11.93247474285969,8,307.167306758242,6.914508085727846,306.64933646,7.432478383969851,307.61972735514905,6.462087488820771,306.49354222969885,7.588272614270977,312.21405808961833,1.8677567543514897
Zhangjiajie,Hunan,Mountainous,21660,20940,477,7970,13463,6937,316.9967111528365,317.88778622,182.07147471776543,559.894692816604,6.386464857071218,11.807038124259941,7,305.5867113421617,11.409999810674776,305.540872574,11.455838578836506,305.59594438773667,11.400766765099831,305.28915606662713,11.707555086209368,309.7606608123589,7.236050340477618
